,Frase,Artigo,Lei,Dispositivo,Petição Inicial
0,"com fulcro nos artigo 282 e seguintes e 270 e seguintes, art. 355 e seguintes, art. 844 e seus incisos, todos do Código de Processo Civil, combinados com o artigo 964 do Código Civil Brasileiro(velho), e demais dispositivos aplicáveis à espécie, pelos perseverantes fatos e fundamentos a seguir aduzidos, e ao final requerer:                                1)  -   DOS FATOS","{'art. 844', 'artigo 964', 'art. 355', 'artigo 282'}",set(),"{'Código Civil', 'Código de Processo Civil'}",set()
1,"Em outras palavras,  o Banco se reserva no direito de alterar unilateralmente as taxas de juros e outros encargos, debitando em conta corrente a sel bel prazer, o que  caracteriza cláusula potestativa pura, nula é de pleno direito nos termos do artigo 51, inciso XIII do Codigo de Defesa do Consumidor (Lei 8.078/11/09/90).",{'artigo 51'},{'Lei 8.078/11'},set(),set()
2,"– CDCSuperadas as discussões a respeito da  limitação constitucional dos juros, ante a edição da súmula  648 do Supremo Tribunal Federal e a vigência da Emenda Constitucional  40/2003, que revogou o art. 192 § 3º da Constituição Federal, seria de se pensar se os consumidores brasileiros estariam à mercê das instituições financeiras.",{'art. 192'},set(),"{'CDCS', 'Constituição', 'Constituição Federal', 'CDC'}",set()
3,"Ademais, em matéria de juros, os artigos 406, 591 e 2035, parágrafo único da Lei 10.406/02, combinados com os artigos 39, § 4º., da Lei 9.250/95, sugerem a adoção de índices não superiores a taxa referencial do Sistema de Liquidação de Custódia – SELIC – ou mesmo sua taxação em 1% ao mês, conforme dispõe  o art. 161","{'artigos 39', 'artigos 406', 'art. 161'}","{'Lei 9.250/95', 'Lei 10.406/02'}","{'Lei 10.406/02', 'Lei 9'}",set()
4,"Ressalta-se ainda que todos os contratos aqui revisados foram celebrados antes da EMENTA CONSTITUCIONAL nº. 40/2003, portanto, não há falar em revogação do art. 192, § 3º da Constituição Federal, Assim tem decidido reiteradamente o Egrégio Tribunal de Justiça do Estado de Goiás, conforme  acórdão, a saber, “verbi gratia”:ACÓRDÃO...: 30/09/2003RELATOR...: DES.",{'art. 192'},set(),"{'Constituição', 'Constituição Federal'}",set()
5,"POR PARTE DO BANCO CREDOR, CONFORME NORMAS DO CDC.",{'ARTE '},set(),"{'CDC.', 'CDC'}",set()
6,"Ademais, como já referimos a  limitação constitucional dos juros, ante a edição da súmula  638 do Supremo Tribunal Federal e a vigência da Emenda Constitucional  40/2003, não atinge o presente pleito vez que o contrato de abertura de crédito em conta corrente e os demais contratos foram formalizados antes da edição da referida  Emenda Constitucional-40/03 e a referida Súmula 638 do STF, portanto não se aproveita no presente caso, a limitação dos de juros remuneratórios, na prevalência do art. 192, § 3º. da Constituição Federal.. 3) - DA CAPITALIZAÇÃO DE JUROS",{'art. 192'},set(),"{'Constituição', 'Constituição Federal'}",set()
7,"6º., II e 52º., do CDC), sob pena de constituir em obrigação inexigível, ante o teor do art. 46 do CÓDIGO DE DEFESA DO CONSUMIDOR.",{'art. 46'},set(),"{'CÓDIGO DE DEFESA DO CONSUMIDOR', 'CDC', 'CDC)'}",set()
8,"I do art. 273 do Código de Processo Civil, que guarda semelhança com a do art. 798 do mesmo estatuto, ambas com nítida carência de uma tutela urgente.","{'art. 798', 'art. 273'}",set(),{'Código de Processo Civil'},set()
9,"Cumpre-se dessa forma o preceito do art. 273 do CPC, quanto a verossimilhança da obrigação invocada, considerando que a revisão de sua conta corrente, desde a abertura do crédito em conta corrente, (CHEQUE ESPECIAL) ex surge da cobrança indevida de juros, capitalização, taxas, multas e outros encargos cobrados indevidamente, uma vez, não protegido o direito do requerente, ficará passando por constrangimento ante a negativação seu nome e CPF nos órgãos de proteção ao crédito, tais como: (SPC, SERASA).",{'art. 273'},set(),"{'CPF ', 'CPC,', 'CPC'}",{'CPF'}
10,"Assim, na Ação pelo procedimento ordinário de revisão de contrato, (contrato de abertura de crédito em conta corrente) onde se discute cobranças ilegais de juros e outros encargos, demonstra a verossimilhança entre a alegação e a prova apresentada, conceder a tutela antecipada  (art. 273 do CPC), é perfeitamente admitida, justa e necessária, considerando que, não deferida desde logo, poderá se revelar tardia a prestação jurisdicional ora invocada.",{'art. 273'},set(),"{'CPC', 'CPC)'}",set()
11,"A PLAUSIBILIDADE DO DIREITO INVOCADO E O FUNDADO RECEIO DE DANO IRREPARÁVEL OU DE DIFÍCIL REPARAÇÃO, CONFORME EXIGÊNCIA DO ARTIGO 273, DO CPP, NECESSÁRIA E A CONCESSÃO DA TUTELA ANTECIPADA, DEVENDO, PORTANTO,",{'ARTIGO 273'},set(),"{'CPP', 'L REPA'}",set()
12,O DIREITO DA PARTE E ULTRAPASSA,{'ARTE '},set(),{'LTRAPA'},set()
13,"Faz se necessário e urgente, portanto, a busca da prestação jurisdicional através do Poder Judiciário, que após a entrega em Juízo de todos os extratos bancários, para revisar todas as operações vinculadas ao contrato de abertura de crédito CONTA CORRENTE pessoa física de n  16092-9, Agência 4390, junto a Instituição Financeira BANCO ITAÚ S/A.			        Porém, devidamente comprovada a veracidade das informações aqui prestadas, prova verossímil, presentes portanto, os pressupostos contidos no art. 273 do Código de Processo Civil.",{'art. 273'},set(),{'Código de Processo Civil'},set()
14,"seja determinada expedição de MANDADO DE CITAÇÃO, via AR, nos termos do Art. 221, inciso I, e 222 e seguintes do Código de Processo Civil, em face da requerida, a ser cumprido no endereço indicado no preämbulo desta, na pessoa de seu Representante Legal,  para, querendo responder aos termos da presente ação, sob pena de revelia, com as observações ou prerrogativas contidas na parte final do  artigo 285 do Código de Processo Civil e demais disposições legais;c) - DA TUTELA ANTECIPADA  - a Concessão da tutela antecipada, para determinar a exclusão do nome e CPF do Autor dos cadastros restritivos de créditos - SERASA / SPC,  referente as operações de abertura de crédito em conta corrente (cheques especial) e demais operações, caso já inscrito que seja determinado sua imediata exclusão, se não, que o requerido se abstenha de inscrever, até final julgamento da presente demanda, quando deverá ser excluída definitivamente;d)","{'arte ', 'artigo 285', 'Art. 221'}",set(),"{'CPF ', 'Código de Processo Civil'}","{'endereço', 'CPF'}"
15,"Capitalização de juros anuais e não mensais, conforme vem aplicando o banco/requerido;e-3)  -Suspensão da aplicação do índice superior a  2,00%,  sobre  multas por atraso nos pagamentos, na forma do artigo 51 (parágrafo 2.º) da Lei 8.078/90;e.4) Seja vedado a aplicação da comissão de permanência vez que cumulada com outros encargos, sendo proibida por Lei.f)",{'artigo 51'},{'Lei 8.078/90'},{'Lei 8.078/90'},set()
16,"A determinação da conexão de qualquer ação proposta pelo agente financeiro com a presente ação,  na forma do artigo dos artigos 102 e seguintes, combinado com o artigo 253(revogado) do CPC, para julgamento único, evitando assim decisões ou sentenças controvertidas ou contraditórias e conflitantes;j)  –","{'artigo 253', 'artigo ', 'artigos 102'}",set(),"{'CPC,', 'CPC'}",set()
17,"Protesta-se por todos os meios de provas em direitos admitidos, notadamente pela documentação anexa, em atendimento ao disposto no artigo 396, do CPC, e mais, depoimento pessoal do representante legal do /banco, que devera ser intimado, prova pericial a ser produzida na escrita contábil junto ao Banco, na conta corrente do requerente, dando conta da cobrança ilegal de  juros, capitalização, multas e outros encargos etc.l/  - a inversão do önus da Prova, com todos os consistórios legais do direito, inclusive o pagamento de perícia, laudos, emolumentos, documentos e outros que se fizerem necessário ao andamento da lide,",{'artigo 396'},set(),"{'CPC,', 'CPC'}",set()
18,"– Empresta-se à presente causa o valor de R$ 2.000.00 (dois mil reais), arbritados privisór  iamente, conforme artigo 260 do CPC.",{'artigo 260'},set(),"{'CPC.', 'CPC'}",set()
