CONSTITUIÇÃO FEDERAL,CÓDIGO CIVIL,CÓDIGO DE PROCESSO CIVIL,CÓDIGO DE DEFESA DO CONSUMIDOR,ANUIDADES ESCOLARES,PLANOS E SEGUROS PRIVADOS,ORGANIZAÇÃO DOS SERVIÇOS DE TELECOMUNICAÇÕES,"DISTRIBUIÇÃO GRATUITA DE PRÊMIOS, SORTEIO, VALE0BRINDE OU CONCURSO - PROPAGANDA",ENFITEUSE,ESTATUTO DA TERRA,SISTEMA NACIONAL DE CADASTRO RURAL,PARCELAMENTO DE SOLO URBANO,POLÍTICA URBANA,CÓDIGO DE ÁGUAS,USUCAPIÃO ESPECIAL DE IMÓVEIS RURAIS,BENS IMÓVEIS DA UNIÃO,ESTATUTO DO ÍNDIO,REGISTROS PÚBLICOS,CONDOMÍNIO EM EDIFICAÇÕES ,PATRIMÔNIO DE AFETAÇÃO DE INCORPORAÇÕES IMOBILIÁRIAS,PROPRIEDADE INDUSTRIAL,DIREITOS AUTORAIS,MERCADO DE CAPITAIS,ISENÇÃO DE IMPOSTO DE RENDA DAS SOCIEDADES DE INVESTIMENTO DE CAPITAL SOCIAL DE PESSOAS RESIDENTES NO EXTERIOR,SOCIEDADE POR AÇÕES,LEI DE FALÊNCIA,AÇÃO DE ALIMENTOS ,ALIENAÇÃO PARENTAL,LEI MARIA DA PENHA ,ESTATUTO DA CRIANÇA E DO ADOLESCENTE,LEI SOBRE AUTORIZAÇÃO DE DESCONTO EM PRESTAÇÕES EM FOLHA DE PAGAMENTO,ALIENAÇÃO FIDUCIÁRIA ,SISTEMA DE FINANCIAMENTO IMOBILIÁRIO,TRATAMENTO TRIBUTÁRIO DAS OPERAÇÕES DE ARRENDAMENTO MERCANTIL,"POLÍTICA E INSTITUIÇÕES MONETÁRIAS, BANCÁRIAS E CREDITÍCIAS",LEI DO CRÉDITO RURAL,LEI SOBRE SISTEMA DE FRANQUIA EMPRESARIAL,LEI DE LOCAÇÃO,LEI SOBRE PREVIDÊNCIA PRIVADA,TRIBUTAÇÃO DOSS PLANOS PREVIDENCIÁRIOS,LEI SOBRE AS ATIVIDADES DOS COMERCIANTES AUTÔNOMOS,LEI SOBRE EQUIVALÊNCIA SALARIAL,LEI SOBRE REAJUSTE DE PRESTAÇÕES DE CONTRATOS DE FINANCIAMENTO IMOBILIÁRIO,LEI SOBRE REAJUSTE DOS ENCARGOS E SALDO DEVEDOR DOS CONTRATOS DE FINANCIAMENTO IMOBILIÁRIO,LEI SOBRE SUSTAÇÃO DE LEILÃO,LEI SOBRE TRANSFERÊNCIA DE FINANCIAMENTO IMOBILIÁRIO,LEI SOBRE TÍTULO DE CRÉDITO À EXPORTAÇÃO,CÉDULA DE CRÉDTO BANCÁRIO,CÉDULA DE CRÉDITO COMERCIAL,TÍTULO DE CRÉDITO INDUSTRIAL,TÍTULO DE CRÉDITO CÉDULA DE CRÉDITO RURAL,TÍTULO DE CRÉDITO CÉDULA DE PRODUTO RURAL,TÍTULO DE CRÉDITO CHEQUE,TÍTULO DE CRÉDITO DEBÊNTURES,TÍTULO DE CRÉDITO DUPLICATA,TÍTULO DE CRÉDITO LETRA DE CÂMBIO E NOTA PROMISSÓRIA,TÍTULO DE CRÉDITO WARRANT ,LEI DE PROTESTO DE TÍTULOS,LEI DA LIBERDADE DE MANIFESTAÇÃO DE PENSAMENTO E DE INFORMAÇÃO
CF,CÓDIGO CÍVEL,CÓDIGO PROCESSUALISTA CÍVEL,C. DEFESA DO CONSUMIDOR,LEI 9870,LEI DOS PLANOS DE SAÚDE,LEI SOBRE TELEFONIA,LEI 5768,LEI 3071,LEI 4504,LEI 5868,LEI 6766,ESTATUTO DA CIDADE,DECRETO FEDERAL 24643,LEI 6969,DECRETO-LEI 9760,LEI 6001,LEI DE REGISTROS PÚBLICOS,INCORPORAÇÕES IMOBILIÁRIAS,LETRA DE CRÉDITO IMOBILIÁRIO,LEI 9279,LEI 9610,LEI 4728,DECRETO-LEI 1401,LEI 6404,LEI FALIMENTAR,LEI DE ALIMENTOS,LEI 12318,LEI CONTRA A VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER,ECA,LEI 10820,LEI DA BUSCA E APREENSÃO DE VEÍCULOS,ALIENAÇÃO FIDUCIÁRIA DE COISA IMÓVEL,LEI 6099,LEI 4595,LEI 4829,LEI 13966,LEI DO INQUILINATO,LEGISLAÇÃO SOBRE PREVIDÊNCIA COMPLEMENTAR,LEI 11053,LEI 4886,LEI 10150,LEI 8100,LEI 8692,DECRETO-LEI 70,LEI 8004,LEI 6313,MP 2160,LEI 6840,DECRETO-LEI 413,DECRETO-LEI 167,LEI 8929,LEI DO CHEQUE,LEI 6404,LEI 5474,DECRETO 2044,DECRETO 1102,LEI 9492,LEI 5250
CF/88,C. CÍVEL,CÓDIGO PROCEDIMENTAL CÍVEL,C.D.C. ,L9870,ASSISTÊNCIA À SAÚDE,LEI SOBRE FATURAS DE TELEFONIA,L5768,L3071,L4504,L5868,L6766,LEI 10257,,L6969,DEC-LEI 9760,L6001,LRP,LEI 4591,CÉDULA DE CRÉDITO IMOBILIÁRIO ,L9279,L9610,L4728,DEC-LEI 1401,L6404,LEI DE RECUPERAÇÃO JUDICIAL ,LEI 5478,L12318,LEI CONTRA A VIOLÊNCIA À MULHER,E.C.A.,L10820,DECRETO-LEI 911,LEI 9514,L6099,L4595,L4829,L13966,LEI LOCATÍCIA,LCP109 ,L11053,L4886,L10150,L8100,L8962,DEC-LEI 70,L8004,L6313,MEDIDA PROVISÓRIA 2160,L6840,DEC-LEI 413,DEC-LEI 167,L8929,LEI 7357,L6404,L5474,DEC 2044,DEC 1102,L9492,L5250
C.F.,C. CIVIL,LEGISLAÇÃO PROCESSUALISTA CÍVEL,CDC,,LEI 9656,LEI 9472,,,,,,L10257,,,DEL97606,,L.R.P.,L4591,CÉDULA DE CRÉDITO BANCÁRIO,,,,DEL1401,,LEI 11101,L5478,LEI DE ABUSO MORAL CONTRA A CRIANÇA,LEI 11340,LEI 8069,,DEC-LEI 911,L9514,,LEI DO SISTEMA FINANCEIRO NACIONAL,,,LEI 8245,LEI COMPLEMENTAR 109,,,,,,DEL70,,,,,DEL413,DEL167,,L7357,,,DPL2044,DPL1102,,LEI DE IMPRENSA
CONSTITUIÇÃO DA REPÚBLICA FEDERATIVA DO BRASIL,CÓDIGO CIVILISTA,LEGISLAÇÃO PROCESSUALISTA CIVIL,LEGISLAÇÃO CONSUMERISTA,,L9656,L9472,,,,,,,,,,,LEI 6015,,LEI 10913,,,,,,L11101,,,L11340,L8069,,DEL911,,,,,,L8245,,,,,,,,,,,,,,,,,,,,,
CONSTITUIÇÃO DE 88,CC,CPC,LEI CONSUMERISTA,,,,,,,,,,,,,,L6015,,L10931,,,,,,,,,,,,,,,,,,LEI DE DESPEJO,,,,,,,,,,,,,,,,,,,,,
,C.C.,C.P.C.,LEI DE PROTEÇÃO AO CONSUMIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CCB,ESTATUTO PROCESSUAL CIVIL,LEI 8078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESTATUTO CIVILISTA ,ESTATUTO PROCESSUALISTA CÍVEL,L8078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LEGISLAÇÃO CIVIL,LEGISLAÇÃO PROCESSUAL CÍVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LEGISLAÇÃO CIVILISTA,LEGISLAÇÃO PROCEDIMENTAL CÍVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LEI SUBSTANTIVA CIVIL,LEI ADJETIVA CIVIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LEI SUBSTANTIVA CÍVEL,LEI ADJETIVA CÍVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LEI 10406,LEI 13105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L10406,L13105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,